id,runtime,budget,revenue,film_id
72,2h 46 min,"$5,000,000","$5,380,118",72
73,1h 27 min,"$1,500,000","$4,250,000",73
74,1h 53 min,"$13,000,000","$426,590,315",74
75,2h 27 min,"$31,500,000","$150,000,000",75
76,2h 10 min,"$3,180,000","$9,644,124",76
77,2h 20 min,,"$20,339,624",77
78,1h 28 min,"$935,000","$1,200,000",78
79,0h 35 min,,,79
80,1h 38 min,,,80
81,2h 12 min,"$10,000,000","$28,000,000",81
82,1h 0 min,,,82
83,2h 50 min,"$9,000,000","$21,057,208",83
84,2h 12 min,,"$33,187",84
85,2h 4 min,,,85
86,2h 1 min,,,86
87,1h 29 min,"$45,000,000","$763,455,561",87
88,2h 0 min,"$3,000,000","$17,500,000",88
89,1h 47 min,,,89
90,1h 56 min,"$7,000,000","$92,600,000",90
91,2h 22 min,,"$20,929,648",91
92,3h 1 min,"$356,000,000","$2,799,439,100",92
93,2h 35 min,"$29,700,000","$93,882,453",93
94,2h 29 min,"$300,000,000","$2,052,415,039",94
95,1h 36 min,,,95
96,2h 10 min,"$23,000,000","$319,700,000",96
97,2h 18 min,"$4,900,000","$3,494,070",97
98,1h 30 min,,,98
99,1h 57 min,,"$55,060,661",99
100,1h 43 min,"$12,000,000","$1,310,720",100
101,1h 48 min,,"$33,748,006",101
102,1h 45 min,,,102
103,1h 43 min,"$90,000,000","$484,700,000",103
104,1h 30 min,,,104
105,2h 33 min,"$70,000,000","$321,457,747",105
106,2h 16 min,"$63,000,000","$463,517,383",106
107,2h 25 min,"$8,575,000","$38,600,000",107
108,2h 49 min,"$70,000,000","$481,840,909",108
109,2h 35 min,"$103,000,000","$465,361,176",109
110,2h 24 min,"$19,000,000","$44,781,695",110
111,2h 26 min,"$25,000,000","$216,600,000",111
112,1h 57 min,"$15,700,000","$507,119,058",112
113,1h 56 min,"$3,000,000","$9,000,000",113
114,1h 45 min,"$175,000,000","$807,816,196",114
115,2h 27 min,,,115
116,2h 1 min,"$11,000,000","$775,398,007",116
117,2h 18 min,"$80,000,000","$294,804,195",117
118,2h 10 min,"$40,000,000","$109,676,311",118
119,2h 5 min,"$3,000,000","$25,000,000",119
120,1h 52 min,,,120
121,2h 11 min,"$170,000,000","$1,488,732,821",121
122,1h 55 min,,"$4,345,395",122
123,2h 19 min,"$40,000,000","$175,302,354",123
124,2h 17 min,"$2,200,000","$27,033,812",124
125,1h 29 min,"$133,000","$450,159",125
126,1h 31 min,,"$10,841,702",126
127,1h 17 min,,"$10,000,000",127
128,1h 49 min,"$18,000,000","$33,800,000",128
129,1h 36 min,,,129
130,0h 14 min,"$1,100,000",,130
131,1h 46 min,"$6,000,000","$23,300,000",131
132,2h 40 min,,,132
133,2h 45 min,"$100,000,000","$425,368,238",133
134,1h 53 min,"$9,000,000","$40,047,236",134
135,1h 51 min,,,135
136,2h 17 min,,,136
137,1h 23 min,,,137
138,1h 51 min,"$2,000,000","$39,273,021",138
139,1h 8 min,"$250,000","$2,500,000",139
140,1h 45 min,,"$195,870,885",140
141,1h 22 min,,,141
142,1h 44 min,,"$30,017,163",142
143,2h 49 min,"$25,000,000","$66,023,329",143
144,2h 31 min,"$90,000,000","$291,465,000",144
145,2h 8 min,"$2,479,000","$7,808,900",145
146,2h 11 min,,"$87,212,911",146
147,2h 5 min,"$2,200,000","$31,500,000",147
148,2h 6 min,"$4,000,000","$64,978,931",148
149,2h 7 min,"$10,000,000","$225,900,000",149
150,1h 42 min,"$878,000","$10,462,500",150
151,2h 19 min,,,151
152,1h 57 min,"$11,000,000","$104,931,801",152
153,2h 42 min,"$120,000",,153
154,1h 39 min,,,154
155,1h 43 min,"$2,540,800","$7,200,000",155
156,2h 47 min,"$190,000,000","$711,844,359",156
157,1h 58 min,"$9,000,000","$49,245,771",157
158,1h 53 min,,,158
159,2h 2 min,"$55,000,000","$1,078,958,629",159
160,1h 59 min,,,160
161,4h 2 min,"$70,000,000",,161
162,0h 6 min,,,162
163,1h 43 min,"$60,000,000","$264,100,000",163
164,2h 0 min,,"$837,000",164
165,1h 54 min,"$1,900,000","$28,579,636",165
166,2h 49 min,"$150,000",,166
167,3h 0 min,"$35,000,000","$4,500,000",167
168,1h 31 min,,,168
169,1h 50 min,,,169
170,1h 53 min,"$20,000,000","$315,025,930",170
171,2h 20 min,,,171
172,2h 12 min,"$3,500,000","$43,143,046",172
173,2h 21 min,"$18,300,000","$112,790,210",173
174,1h 57 min,"$30,000,000","$46,357,676",174
175,2h 13 min,"$23,000,000","$34,934,009",175
176,1h 41 min,"$150,000,000","$121,977,511",176
177,1h 37 min,"$6,000,000","$21,029,340",177
178,1h 39 min,"$1,200,000","$2,859,750",178
179,2h 15 min,,"$225,879,065",179
180,2h 17 min,"$102,000,000","$520,000,000",180
181,2h 17 min,,,181
182,2h 28 min,"$5,300,000","$1,350,322",182
183,1h 45 min,"$1,350,000","$28,356,188",183
184,2h 2 min,,,184
185,1h 35 min,"$1,800,000","$9,500,000",185
186,1h 53 min,"$2,900,000","$5,596,708",186
187,2h 0 min,,,187
188,1h 38 min,"$150,000","$14,204,632",188
189,1h 47 min,"$4,000,000","$30,000,000",189
190,1h 47 min,"$927,262","$2,500,000",190
191,2h 1 min,"$5,740,000","$9,923,127",191
192,2h 11 min,"$6,800,000","$6,788,659",192
193,2h 25 min,"$1,750,000","$2,181,987",193
194,2h 4 min,,,194
195,1h 44 min,"$75,000,000","$124,530,200",195
196,1h 56 min,,,196
197,1h 20 min,,,197
198,1h 46 min,,,198
199,2h 17 min,"$49,300,000","$24,366,656",199
200,2h 19 min,"$1,400,000","$8,400,000",200
201,2h 2 min,"$2,883,848","$25,000,000",201
202,1h 48 min,"$20,000,000","$72,258,126",202
203,2h 33 min,"$46,000,000","$122,126,687",203
204,1h 56 min,"$3,800,000","$18,300,000",204
205,3h 5 min,,,205
206,1h 50 min,,,206
207,2h 10 min,"$125,000,000","$1,341,511,219",207
208,1h 38 min,"$180,000,000","$521,311,860",208
209,1h 38 min,"$2,600,000","$15,300,000",209
210,6h 7 min,,"$2,693,053",210
211,3h 10 min,,,211
212,1h 1 min,,,212
213,1h 30 min,,,213
214,2h 56 min,,"$19,647,000",214
215,1h 57 min,"$35,000,000",,215
216,2h 19 min,"$18,300,000","$125,983,972",216
217,2h 30 min,"$14,000,000","$85,000,000",217
218,1h 51 min,,"$35,274",218
219,1h 28 min,"$250,000","$117,668",219
220,3h 1 min,"$100,000,000","$952,000,000",220
221,2h 38 min,"$25,000,000","$77,208,711",221
222,2h 18 min,"$12,820,005","$81,927,980",222
223,1h 29 min,,,223
224,1h 38 min,,,224
225,2h 7 min,"$28,000,000","$121,600,000",225
226,2h 29 min,"$12,000,000","$71,923,560",226
227,0h 7 min,,,227
228,1h 58 min,"$12,000,000","$140,312,928",228
229,0h 45 min,,,229
230,1h 42 min,"$5,300,000","$4,656,348",230
231,1h 4 min,"$75,000","$9,500,000",231
232,1h 26 min,"$3,700,000","$41,000,000",232
233,1h 55 min,"$15,000,000","$162,729,321",233
234,2h 4 min,"$4,200,000","$21,107,423",234
235,2h 40 min,"$11,500,005","$11,859,533",235
236,1h 49 min,"$16,000,000","$78,871,079",236
237,1h 49 min,"$15,000,000","$19,629,760",237
238,1h 46 min,,,238
239,2h 11 min,"$2,800,000","$26,000,000",239
240,2h 7 min,"$25,000,000","$236,000,000",240
241,2h 7 min,"$25,000,000","$236,000,000",241
242,3h 11 min,"$3,000,000","$10,000,000",242
243,1h 40 min,"$30,000,000","$174,600,318",243
244,1h 55 min,"$4,000,000","$14,759,148",244
245,1h 22 min,,,245
246,1h 27 min,,,246
247,1h 36 min,,,247
248,2h 45 min,"$12,000,000","$42,345,360",248
249,2h 58 min,,,249
250,1h 52 min,,,250
251,1h 39 min,,,251
252,2h 13 min,,,252
253,1h 40 min,,,253
254,2h 4 min,"$5,000,000","$26,000,000",254
255,3h 0 min,"$100,000,000","$392,000,000",255
256,2h 17 min,"$2,000,000","$70,000,000",256
257,2h 40 min,"$18,000,000","$90,000,000",257
258,1h 41 min,"$7,000,000","$40,300,000",258
259,2h 24 min,,,259
260,2h 33 min,,,260
261,2h 9 min,"$5,500,000","$159,616,327",261
262,1h 33 min,,,262
263,1h 58 min,"$13,000,000","$35,401,758",263
264,1h 19 min,,,264
265,1h 29 min,"$14,000,000","$4,324,817",265
266,1h 42 min,"$4,500,000","$7,390,108",266
267,2h 20 min,,,267
268,1h 48 min,"$14,000,000","$82,468,705",268
269,2h 21 min,"$130,000,000","$789,804,554",269
270,1h 45 min,"$1,400,000","$3,000,000",270
271,1h 26 min,,,271
272,2h 12 min,"$600,000","$15,000,000",272
273,1h 50 min,,,273
274,1h 0 min,,,274
275,1h 41 min,,,275
276,2h 2 min,"$15,000,000","$356,296,601",276
277,2h 6 min,,,277
278,1h 55 min,,,278
279,2h 14 min,"$200,000,000","$233,503,234",279
280,1h 43 min,"$20,000","$1,000,000",280
281,4h 7 min,"$55,000,000",,281
282,1h 59 min,"$839,727","$23,218,000",282
283,1h 50 min,"$17,000,000","$66,316,289",283
284,2h 33 min,"$97,600,000","$225,508,210",284
285,1h 33 min,"$16,000,000","$46,800,000",285
286,1h 22 min,,"$18,121",286
287,3h 5 min,"$11,000,000","$260,131",287
288,2h 59 min,"$50,000,000","$116,112,375",288
289,2h 11 min,"$14,500,000","$250,600,000",289
290,1h 33 min,,,290
291,1h 33 min,,"$857,522",291
292,3h 3 min,"$15,000,000","$49,000,000",292
293,3h 48 min,"$15,000,000","$69,995,385",293
294,2h 9 min,"$2,000,000","$13,129,846",294
295,2h 28 min,"$1,500,000",,295
296,1h 53 min,"$14,000,000","$233,600,000",296
297,2h 10 min,"$2,000,000","$33,965,843",297
298,2h 51 min,"$9,000,000","$70,000,000",298
299,1h 52 min,,"$186,965,409",299
300,1h 35 min,"$5,500,000","$42,187,665",300
301,3h 5 min,,"$24,173",301
302,0h 7 min,,,302
303,0h 4 min,,,303
304,1h 56 min,"$33,000,000","$270,000,000",304
305,1h 59 min,"$100,000,000","$394,638,258",305
306,1h 53 min,,,306
307,1h 50 min,,,307
308,1h 35 min,"$923,000","$4,000,000",308
309,2h 42 min,"$2,600,000","$28,430,000",309
310,3h 57 min,,,310
311,1h 43 min,"$160,000",,311
312,2h 5 min,,,312
313,2h 21 min,,,313
314,2h 15 min,"$52,000,000","$918,355,943",314
315,1h 50 min,,"$752,045",315
316,2h 1 min,,,316
317,1h 39 min,,,317
318,1h 59 min,,,318
319,2h 16 min,"$4,000,000","$13,275,000",319
320,1h 36 min,,,320
321,2h 21 min,"$52,000,000","$352,114,312",321
322,2h 5 min,,"$536,364",322
323,2h 5 min,"$3,000,000","$5,228,752",323
324,1h 13 min,"$9,000,000",,324
325,1h 41 min,"$2,500,000","$5,987,386",325
326,1h 51 min,"$30,000,000","$180,906,076",326
327,1h 48 min,,"$9,968,972",327
328,1h 21 min,"$30,000,000","$394,436,586",328
329,1h 35 min,"$12,000,000","$22,244,207",329
330,2h 30 min,"$250,000,000","$845,600,000",330
331,1h 59 min,,"$49,714,378",331
332,2h 6 min,"$3,800,000","$4,307,000",332
333,1h 47 min,"$825,370","$119,266",333
334,1h 34 min,"$4,000,000","$72,000,000",334
335,1h 42 min,"$5,000,000","$26,500,000",335
336,0h 9 min,,,336
337,1h 38 min,,,337
338,1h 36 min,"$175,000,000","$735,099,082",338
339,1h 19 min,"$750,000","$1,000,000",339
340,2h 0 min,,,340
341,2h 1 min,,"$323,638,107",341
342,2h 28 min,"$200,000,000","$1,921,847,111",342
343,1h 33 min,,,343
344,1h 47 min,"$40,000,000","$672,800,000",344
345,2h 12 min,"$30,000,000","$216,763,646",345
346,2h 13 min,"$500,000",,346
347,1h 32 min,"$17,000,000","$61,779,301",347
348,2h 21 min,"$4,000,000",,348
349,2h 7 min,"$63,000,000","$920,100,000",349
350,1h 37 min,,,350
351,1h 41 min,,,351
352,2h 53 min,"$4,000,000","$11,700,000",352
353,1h 43 min,,"$34,949,567",353
354,1h 36 min,,"$1,207,841",354
355,2h 51 min,"$4,000,000","$6,400,000",355
356,1h 26 min,"$50,000,000","$23,300,000",356
357,1h 51 min,,,357
358,1h 21 min,"$1,500,000","$2,200,000",358
359,2h 17 min,"$18,500,000","$183,316,455",359
360,2h 19 min,,,360
361,2h 5 min,"$1,000,000","$16,600,000",361
362,2h 19 min,,,362
363,2h 2 min,,,363
364,2h 2 min,"$25,000,000","$171,627,166",364
365,2h 4 min,"$5,700,000","$49,000,000",365
366,1h 37 min,,"$2,568,235",366
367,3h 53 min,"$4,000,000","$402,352,579",367
368,2h 57 min,"$72,000,000","$213,200,000",368
369,2h 14 min,"$20,000,000","$187,000,000",369
370,1h 58 min,"$28,000,000","$41,722,424",370
371,1h 35 min,"$400,000",,371
372,1h 57 min,"$1,000,000","$9,016,411",372
373,2h 2 min,,"$128,269",373
374,1h 36 min,,,374
375,1h 52 min,"$10,000,000","$1,905,058",375
376,2h 25 min,,"$906,133",376
377,1h 50 min,"$20,000,000","$207,945,075",377
378,2h 9 min,"$18,000,000","$23,380,203",378
379,1h 57 min,"$5,000,000","$55,736,588",379
380,1h 33 min,,,380
381,1h 49 min,"$3,000,000","$33,000,000",381
382,2h 12 min,,,382
383,1h 48 min,,"$13,422",383
384,1h 18 min,"$18,000","$8,811",384
385,1h 55 min,"$18,000,000","$389,925,971",385
386,1h 2 min,,,386
387,1h 48 min,"$910,000","$960,000",387
388,1h 23 min,"$3,000,000","$10,000,000",388
389,1h 36 min,"$12,000,000","$27,507,549",389
390,0h 15 min,,,390
391,2h 3 min,"$12,000,000","$87,100,449",391
392,1h 40 min,,,392
393,1h 52 min,,,393
394,1h 45 min,,"$1,226,098",394
395,2h 50 min,"$60,000,000","$187,400,000",395
396,1h 57 min,,,396
397,1h 23 min,,,397
398,1h 29 min,"$180,000","$925,402",398
399,2h 15 min,"$980,000",,399
400,2h 3 min,"$21,000,000","$43,095,175",400
401,1h 18 min,"$3,500,000",,401
402,2h 15 min,"$980,000",,402
403,1h 38 min,,,403
404,2h 32 min,"$125,000,000","$976,475,550",404
405,2h 2 min,"$10,000,000","$173,921,954",405
406,2h 10 min,"$14,400,000","$159,157,447",406
407,2h 10 min,"$6,000,000","$30,000,000",407
408,1h 55 min,,,408
409,1h 50 min,"$20,000,000","$742,500,000",409
410,1h 35 min,"$175,000,000","$857,611,174",410
411,2h 17 min,"$900,000","$1,000,000",411
412,2h 3 min,,,412
413,1h 53 min,,,413
414,2h 10 min,,"$19,496,308",414
415,1h 28 min,"$90,000,000","$304,320,254",415
416,1h 44 min,,,416
417,2h 41 min,"$10,400,000","$311,000,000",417
418,1h 58 min,"$5,000,000","$23,123,592",418
419,2h 1 min,"$170,000,000","$772,776,600",419
420,2h 5 min,,,420
421,3h 14 min,"$200,000,000","$2,264,162,353",421
422,1h 47 min,,"$60,692,022",422
423,2h 3 min,"$5,000,000","$24,426,169",423
424,2h 9 min,"$30,000,000","$447,407,695",424
425,1h 33 min,,"$148,355",425
426,2h 13 min,"$13,000,000","$65,796,862",426
427,1h 57 min,,,427
428,1h 39 min,,"$86,600,000",428
429,1h 50 min,"$75,000,000",,429
430,2h 10 min,"$1,839,169","$42,350,000",430
431,1h 57 min,"$55,000,000","$307,077,295",431
432,1h 39 min,"$1,000,000","$125,002,821",432
433,2h 12 min,"$32,350,000","$572,700,000",433
434,2h 12 min,"$54,000,000","$132,511,035",434
435,1h 35 min,"$7,300,000",,435
436,1h 39 min,,,436
437,2h 27 min,"$55,000,000",,437
438,1h 49 min,,"$7,434,840",438
439,2h 10 min,"$1,288,000","$7,592,465",439
440,2h 21 min,"$20,000,000","$58,424,000",440
441,2h 21 min,"$20,000,000","$58,424,000",441
442,0h 54 min,,,442
443,2h 20 min,,,443
444,2h 29 min,"$61,000,000","$370,890,259",444
445,0h 12 min,,,445
446,1h 40 min,"$60,000,000","$172,750,668",446
447,2h 3 min,"$29,000,000","$115,600,000",447
448,1h 46 min,,,448
449,1h 39 min,,"$25,860,000",449
450,1h 45 min,"$84,000,000","$459,066,134",450
451,2h 54 min,,,451
452,1h 10 min,"$3,000,000",,452
453,1h 15 min,"$3,500,000",,453
454,1h 44 min,"$10,000,000",,454
455,2h 28 min,,"$6,703,873",455
456,2h 9 min,"$1,500,000","$9,600,000",456
457,2h 15 min,"$40,000,000","$216,600,000",457
458,3h 42 min,"$15,000,000","$164,000,000",458
459,1h 44 min,,,459
460,1h 55 min,"$2,500,000",,460
461,1h 50 min,,,461
462,2h 1 min,"$800,000","$964,028",462
463,1h 46 min,"$2,800,000","$86,273,333",463
464,0h 28 min,,,464
465,2h 16 min,"$30,000,000","$152,159,461",465
466,1h 59 min,"$1,500,000","$12,000,000",466
467,2h 20 min,"$12,500,000","$40,061,153",467
468,2h 17 min,"$25,000,000","$50,401,502",468
469,1h 20 min,,,469
470,1h 33 min,"$795,000",,470
471,1h 52 min,"$849,080",,471
472,0h 6 min,"$60,000",,472
473,2h 2 min,"$4,000,000","$31,478,893",473
474,1h 45 min,"$4,000,000","$13,624,522",474
475,1h 14 min,,,475
476,1h 31 min,,"$71,461",476
477,1h 37 min,,"$32,207,491",477
478,1h 48 min,"$2,000,000","$26,433,651",478
479,2h 19 min,,"$64,974",479
480,2h 1 min,"$22,000,000","$17,287,898",480
481,1h 50 min,"$85,000,000","$408,402,685",481
482,1h 42 min,"$2,500,000","$30,900,000",482
483,2h 14 min,"$30,000,000","$9,500,000",483
484,2h 35 min,"$16,000,000","$92,200,000",484
485,1h 38 min,"$7,000,000","$60,611,975",485
486,1h 29 min,"$6,400,000","$4,093,345",486
487,2h 15 min,"$58,000,000","$316,800,000",487
488,2h 17 min,"$25,500,000","$16,653,488",488
489,2h 6 min,"$23,000,000","$47,351,251",489
490,1h 29 min,"$8,000,000","$52,300,000",490
491,2h 0 min,,,491
492,1h 41 min,"$62,770,198","$64,337,744",492
493,1h 34 min,,"$312,381",493
494,2h 3 min,"$15,000,000","$123,726,688",494
495,1h 55 min,"$1,500,000",,495
496,2h 7 min,"$48,000,000","$474,171,806",496
497,1h 32 min,"$8,240,000","$1,740,429",497
498,2h 10 min,,"$69,932,387",498
499,1h 34 min,,"$1,636,000",499
500,3h 1 min,"$22,000,000","$424,208,848",500
501,2h 20 min,"$25,000,000","$23,300,000",501
502,2h 11 min,"$40,000,000","$312,897,920",502
503,1h 47 min,"$100,000,000","$130,423,032",503
504,1h 53 min,"$23,000,000","$15,100,000",504
505,1h 30 min,,,505
506,1h 35 min,,,506
507,1h 34 min,,"$1,636,000",507
508,1h 57 min,"$3,000,000","$55,101,305",508
509,1h 57 min,,,509
510,1h 32 min,"$115,000,000","$579,700,000",510
511,1h 51 min,"$1,821,052","$1,300,000",511
512,2h 4 min,"$875,000","$311,708",512
513,1h 57 min,"$15,000,000","$47,010,480",513
514,1h 54 min,,"$172,885",514
515,1h 48 min,"$12,500,000",,515
516,2h 9 min,"$800,000","$1,591,000",516
517,1h 16 min,"$18,000,000","$75,634,409",517
518,2h 5 min,"$1,800,000","$46,665,856",518
519,1h 39 min,"$200,000","$14,500,000",519
520,2h 5 min,,,520
521,1h 34 min,"$12,500,000","$20,416,563",521
522,1h 54 min,,,522
523,1h 28 min,,,523
524,2h 31 min,"$12,000,000","$53,267,000",524
525,1h 40 min,,,525
526,2h 24 min,"$30,000,000","$63,800,000",526
527,2h 41 min,"$2,000,000","$8,000,000",527
528,1h 42 min,,"$4,439,431",528
529,2h 41 min,"$3,000,000","$44,908,000",529
530,2h 18 min,"$3,200,000","$33,395,426",530
531,1h 33 min,"$25,000,000","$2,000,000",531
532,2h 15 min,,"$7,283,223",532
533,1h 38 min,"$165,000,000","$494,879,471",533
534,2h 0 min,"$3,000,000","$73,267,874",534
535,0h 17 min,,,535
536,0h 7 min,,,536
537,2h 11 min,"$13,500,000","$19,255,873",537
538,1h 27 min,,"$37,641",538
539,1h 30 min,,"$700,000",539
540,1h 35 min,"$9,850,000","$1,756,552",540
541,1h 53 min,"$21,400,000","$10,898,998",541
542,5h 16 min,"$9,000,000",,542
543,0h 7 min,,,543
544,1h 43 min,"$6,900,000","$4,493,017",544
545,1h 51 min,"$150,000,000","$623,726,000",545
546,2h 5 min,,"$258,000,000",546
547,2h 17 min,"$97,000,000","$619,021,436",547
548,1h 53 min,,,548
549,1h 39 min,"$1,200,000","$1,500,000",549
550,2h 1 min,"$13,272,819",,550
551,2h 12 min,,,551
552,1h 48 min,,,552
553,1h 45 min,"$325,000","$4,500,000",553
554,1h 49 min,,"$51,437,352",554
555,1h 9 min,,,555
556,2h 15 min,"$60,000,000","$121,700,000",556
557,1h 47 min,,,557
558,1h 40 min,"$125,000","$8,708,932",558
559,2h 7 min,,"$83,305",559
560,1h 40 min,"$94,000,000","$940,335,536",560
561,2h 5 min,"$5,500,000","$24,340,302",561
562,1h 35 min,"$200,000,000","$51,074,773",562
563,2h 9 min,"$20,000,000","$98,690,254",563
564,1h 20 min,"$2,700,000","$15,992,615",564
565,2h 39 min,"$13,000,000","$150,000,000",565
566,2h 21 min,"$47,000,000","$2,331,721",566
567,2h 47 min,,,567
568,1h 46 min,,,568
569,1h 55 min,,"$63,027,681",569
570,2h 2 min,"$3,800,000","$23,700,000",570
571,1h 6 min,"$8,000,000","$5,873,256",571
572,1h 54 min,,"$1,805,884",572
573,1h 52 min,,,573
574,2h 37 min,"$150,000,000","$895,921,036",574
575,1h 43 min,"$10,000,000","$83,600,000",575
576,1h 51 min,"$8,000,000","$3,151,849",576
577,1h 46 min,,,577
578,1h 26 min,,,578
579,1h 43 min,,"$8,945,072",579
580,2h 27 min,"$15,000,000","$20,289,986",580
581,1h 30 min,,"$946,590",581
582,1h 57 min,"$4,200,000",,582
583,3h 0 min,"$6,000,000","$4,000,000",583
584,1h 27 min,"$40,000,000","$46,471,023",584
585,1h 56 min,"$700,000","$850,000",585
586,2h 23 min,"$140,000,000","$655,011,224",586
587,2h 0 min,,,587
588,1h 31 min,"$2,800,000","$27,365,467",588
589,1h 43 min,,"$8,945,072",589
590,2h 28 min,"$15,000,000","$56,255,142",590
591,1h 52 min,"$10,000,000","$44,339,362",591
592,1h 58 min,"$200,000","$460,000",592
593,1h 44 min,,"$3,129,968",593
594,1h 46 min,,"$6,000,000",594
595,2h 24 min,"$6,000,000","$12,966,357",595
596,1h 43 min,"$200,000,000","$1,067,316,101",596
597,2h 3 min,,"$20,374,201",597
598,1h 31 min,"$400,000","$5,028,948",598
599,0h 18 min,,,599
600,1h 28 min,,"$3,403,957",600
601,1h 50 min,"$6,500,000","$25,775,371",601
602,1h 40 min,"$5,070,773",,602
603,2h 14 min,"$14,000,000","$178,043,761",603
604,1h 28 min,,"$3,403,957",604
605,0h 30 min,,,605
606,1h 40 min,,,606
607,1h 33 min,,,607
608,2h 18 min,"$35,000,000","$126,216,940",608
609,2h 7 min,"$8,500,000","$2,119,043",609
610,1h 43 min,"$13,000,000","$33,384,127",610
611,0h 5 min,,,611
612,2h 36 min,"$31,000,000","$134,100,000",612
613,1h 6 min,"$310,607",,613
614,2h 12 min,"$28,000,000","$140,767,956",614
615,1h 20 min,"$12,500,000","$78,599,508",615
616,2h 4 min,"$14,000,000","$24,094,016",616
617,2h 27 min,"$28,000,000","$201,634,991",617
618,1h 30 min,,,618
619,2h 0 min,"$960,000","$225,300,000",619
620,1h 49 min,"$19,000,000","$2,536,000",620
621,1h 45 min,,"$2,559,939",621
622,2h 6 min,"$30,000,000","$117,932,401",622
623,1h 47 min,"$19,000,000","$34,339,848",623
624,2h 35 min,"$165,000,000","$407,573,628",624
625,1h 15 min,,,625
626,1h 31 min,,"$8,939",626
627,1h 54 min,,"$7,627,100",627
628,1h 6 min,"$4,000,000",,628
629,2h 45 min,"$250,000,000","$1,081,041,287",629
630,1h 54 min,"$1,300,000","$12,413,888",630
631,1h 38 min,,"$3,800,000",631
632,3h 9 min,,"$4,831,836",632
633,2h 58 min,"$10,000,000","$16,690,617",633
634,2h 13 min,,,634
635,1h 27 min,,,635
636,2h 3 min,"$3,200,000","$8,000,000",636
637,1h 54 min,"$4,500,000","$7,500,000",637
638,1h 45 min,,,638
639,2h 20 min,"$25,000,000","$139,200,000",639
640,1h 36 min,"$1,000,000","$1,645,164",640
641,2h 51 min,"$2,100,000","$23,650,000",641
642,3h 8 min,"$6,000,000","$6,800,000",642
643,1h 45 min,,"$215,245",643
644,2h 35 min,,"$16,626",644
645,2h 0 min,"$31,000,000","$52,096,475",645
646,2h 7 min,"$8,900,000","$29,800,000",646
