id,director,top_billed,budget_usd,revenue_usd
113,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams",3000000,9000000
114,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor",175000000,807816196
115,Hiroshi Teshigahara,"Eiji Okada, Kyôko Kishida, Hiroko Itō, Kōji Mitsui",,
116,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness",11000000,775398007
117,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",80000000,294804195
118,Christopher Nolan,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall",40000000,109676311
119,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen",3000000,25000000
120,Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo, Lupita Sandoval, Yare Santana",,
121,Joseph Kosinski,"Tom Cruise, Miles Teller, Monica Barbaro, Lewis Pullman, Jay Ellis",170000000,1488732821
122,Mari Okada,"Manaka Iwami, Miyu Irino, Yuuki Sakurai, Ai Kayano, Yuki Kaji",,4345395
123,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey",40000000,175302354
124,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke",2200000,27033812
125,Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci",133000,450159
126,Taichi Ishidate,"Yui Ishikawa, Minako Kotobuki, Aoi Yuki, Koki Uchiyama, Takehito Koyasu",,10841702
127,Nick Hurran,"Matt Smith, David Tennant, John Hurt, Jenna Coleman, Billie Piper",,10000000
128,Simon Curtis,"Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro, Ian Lake",18000000,33800000
129,Ingmar Bergman,"Max von Sydow, Bengt Ekerot, Gunnar Björnstrand, Nils Poppe, Bibi Andersson",,
130,John Landis,"Michael Jackson, Ola Ray, Vincent Price, Cynthia Garris, Tiana Davidson 'Thelma' Davis",1100000,
131,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey",6000000,23300000
132,Thomas Kail,"Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry, Phillipa Soo, Daveed Diggs",,
133,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",100000000,425368238
134,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega",9000000,40047236
135,Elio Petri,"Gian Maria Volonté, Florinda Bolkan, Gianni Santuccio, Orazio Orlando, Sergio Tramonti",,
136,Yasujirō Ozu,"Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sō Yamamura",,
137,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström",,
138,Susana Garcia,"Paulo Gustavo, Mariana Xavier, Rodrigo Pandolfo, Herson Capri, Samantha Schmütz",2000000,39273021
139,Charlie Chaplin,"Charlie Chaplin, Jackie Coogan, Carl Miller, Edna Purviance, Albert Austin",250000,2500000
140,Sunghoo Park,"Megumi Ogata, Kana Hanazawa, Yuichi Nakamura, Takahiro Sakurai, Mikako Komatsu",,195870885
141,Rebecca Sugar,"Zach Callison, Deedee Magno, Estelle, Michaela Dietz, Sarah Stiles",,
142,Kenji Nagasaki,"Daiki Yamashita, Nobuhiko Okamoto, Yoshio Inoue, Mio Imada, Yuka Terasaki",,30017163
143,Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia",25000000,66023329
144,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen",90000000,291465000
145,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones",2479000,7808900
146,Amp Wong,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Zhao Mingzhou, Zheng Xiaopu",,87212911
147,Hwang Dong-hyuk,"Gong Yoo, Jung Yu-mi, Kim Hyun-soo, Jung In-seo, Baek Seung-hwan",2200000,31500000
148,Nadine Labaki,"Zain Al Rafeea, Yordanos Shifera, Boluwatife Treasure Bankole, Kawsar Al Haddad, Fadi Kamel Yousef",4000000,64978931
149,Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver",10000000,225900000
150,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt",878000,10462500
151,Federico Fellini,"Marcello Mastroianni, Anouk Aimée, Sandra Milo, Claudia Cardinale, Rossella Falk",,
152,Ridley Scott,"Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt",11000000,104931801
153,Andrei Tarkovsky,"Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Alisa Freyndlikh, Natalya Abramova",120000,
154,Ernst Lubitsch,"James Stewart, Margaret Sullavan, Frank Morgan, Joseph Schildkraut, Sara Haden",,
155,Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell",2540800,7200000
156,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin",190000000,711844359
157,Paola Cortellesi,"Paola Cortellesi, Valerio Mastandrea, Romana Maggiora Vergano, Emanuela Fanelli, Giorgio Colangeli",9000000,49245771
158,Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer, Adrien Dorval",,
159,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen",55000000,1078958629
160,Bang Woo-ri,"Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung",,
161,Zack Snyder,"Ben Affleck, Henry Cavill, Gal Gadot, Ray Fisher, Jason Momoa",70000000,
162,Alan Barillaro,N/A,,
163,Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor",60000000,264100000
164,Luis Mandoki,"Carlos Padilla, Xuna Primus, Leonor Varela, José María Yázpik, Gustavo Muñoz",,837000
165,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle",1900000,28579636
166,Ingmar Bergman,"Liv Ullmann, Erland Josephson, Bibi Andersson, Jan Malmsjö, Gunnel Lindblom",150000,
167,Taylor Hackford,"Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo, Victor Rivers",35000000,4500000
168,Ingmar Bergman,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl",,
169,Fisher Stevens,"Justin Timberlake, Ryder Allen, Juno Temple, Alisha Wainwright, June Squibb",,
170,Stephen Chbosky,"Jacob Tremblay, Julia Roberts, Owen Wilson, Izabela Vidovic, Noah Jupe",20000000,315025930
171,Mario Monicelli,"Ugo Tognazzi, Gastone Moschin, Philippe Noiret, Duilio Del Prete, Adolfo Celi",,
172,Luca Guadagnino,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar, Esther Garrel",3500000,43143046
173,Kim Yong-hwa,"Ha Jung-woo, Ju Ji-hoon, Kim Hyang-gi, Ma Dong-seok, Kim Dong-wook",18300000,112790210
174,Stanley Kubrick,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey, Dorian Harewood",30000000,46357676
175,George Tillman Jr.,"Amandla Stenberg, Regina Hall, Russell Hornsby, K.J. Apa, Common",23000000,34934009
176,Pete Docter,"Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga",150000000,121977511
177,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",6000000,21029340
178,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi",1200000,2859750
179,Derek Tsang,"Zhou Dongyu, Jackson Yee, Yin Fang, Huang Jue, Wu Yue",,225879065
180,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen",102000000,520000000
181,Mario Monicelli,"Vittorio Gassman, Alberto Sordi, Silvana Mangano, Folco Lulli, Bernard Blier",,
182,Fritz Lang,"Gustav Fröhlich, Brigitte Helm, Alfred Abel, Rudolf Klein-Rogge, Theodor Loos",5300000,1350322
183,Guy Ritchie,"Vinnie Jones, Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",1350000,28356188
184,Elizabeth Allen Rosenbaum,"Sofia Carson, Nicholas Galitzine, John Harlan Kim, Chosen Jacobs, Anthony Ippolito",,
185,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens",1800000,9500000
186,Walter Salles,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Othon Bastos, Otávio Augusto",2900000,5596708
187,Arturo Brachetti,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Marina Massironi",,
188,Wong Kar-wai,"Tony Leung Chiu-wai, Maggie Cheung, Rebecca Pan, Kelly Lai Chen, Siu Ping-lam",150000,14204632
189,Oriol Paulo,"Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, Francesc Orella",4000000,30000000
190,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Richard Gaines",927262,2500000
191,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras",5740000,9923127
192,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman",6800000,6788659
193,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Hunter Carson, Aurore Clément",1750000,2181987
194,Kenji Mizoguchi,"Kinuyo Tanaka, Yoshiaki Hanayagi, Kyōko Kagawa, Eitarō Shindō, Ichirō Sugai",,
195,Josh Cooley,"Chris Hemsworth, Brian Tyree Henry, Scarlett Johansson, Keegan-Michael Key, Jon Hamm",75000000,124530200
196,Zhao Ji,"Yang Tianxiang, Zhang He, Xuan Xiaoming, Li Shimeng, Keer Zhu",,
197,Ethan Spaulding,"Patrick Seitz, Jordan Rodrigues, Jennifer Carpenter, Joel McHale, Ike Amadi",,
198,Mario Monicelli,"Vittorio Gassman, Renato Salvatori, Memmo Carotenuto, Rossana Rory, Carla Gravina",,
199,Isao Takahata,"Aki Asakura, Takeo Chii, Nobuko Miyamoto, Kengo Kora, Atsuko Takahata",49300000,24366656
200,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill",1400000,8400000
201,Billy Wilder,"Tony Curtis, Jack Lemmon, Marilyn Monroe, George Raft, Pat O’Brien",2883848,25000000
202,Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood",20000000,72258126
203,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard",46000000,122126687
204,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, Susse Wold",3800000,18300000
205,Akira Kurosawa,"Toshirō Mifune, Yūzō Kayama, Tsutomu Yamazaki, Reiko Dan, Miyuki Kuwano",,
206,Akira Kurosawa,"Toshirō Mifune, Tatsuya Nakadai, Yōko Tsukasa, Isuzu Yamada, Daisuke Katō",,
207,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman",125000000,1341511219
208,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger",180000000,521311860
209,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo",2600000,15300000
210,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Adriana Asti, Sonia Bergamasco, Fabrizio Gifuni",,2693053
211,Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Marcel Herrand, María Casares",,
212,Thomas Astruc,"Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc, Thierry Kazazian",,
213,Takaomi Kanasaki,"Jun Fukushima, Rie Takahashi, Sora Amamiya, Ai Kayano, Yui Horie",,
214,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, Magali Noël",,19647000
215,Mark Gustafson,"Ewan McGregor, David Bradley, Gregory Mann, Burn Gorman, Ron Perlman",35000000,
216,Kim Yong-hwa,"Ha Jung-woo, Cha Tae-hyun, Ju Ji-hoon, Kim Hyang-gi, Lee Jung-jae",18300000,125983972
217,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, Martin Semmelrogge",14000000,85000000
218,Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",,35274
