id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count
35,The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",en,8.4,2,59,2002-12-18,21798
36,Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,1,57,2018-12-06,15552
37,Hope,Drama,ko,8.4,2,2,2013-10-02,729
38,The Empire Strikes Back,"Adventure, Action, Science Fiction",en,8.4,2,4,1980-05-20,16887
39,Gabriel's Inferno: Part II,"Romance, Drama",en,8.4,1,45,2020-07-31,1513
40,Dou kyu sei – Classmates,"Romance, Animation",ja,8.4,1,1,2016-02-20,382
41,Gabriel's Inferno: Part III,"Romance, Drama",en,8.4,1,45,2020-11-19,1053
42,A Silent Voice: The Movie,"Animation, Drama",ja,8.4,2,9,2016-09-17,3938
43,Whiplash,"Drama, Music",en,8.4,1,47,2014-10-10,15034
44,The Pianist,"Drama, War",en,8.4,2,30,2002-09-17,9136
45,Se7en,"Crime, Mystery, Thriller",en,8.4,2,7,1995-09-22,20934
46,Radical,Drama,es,8.4,2,6,2023-10-19,416
47,Inception,"Action, Science Fiction, Adventure",en,8.4,2,28,2010-07-15,36495
48,The Legend of Hei,"Animation, Fantasy, Action",zh,8.4,1,42,2019-08-27,364
49,Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",en,8.4,2,20,2023-05-31,6915
50,TAYLOR SWIFT | THE ERAS TOUR,Music,en,8.4,2,49,2023-10-13,397
51,Rear Window,"Thriller, Mystery",en,8.4,1,52,1954-08-01,6453
52,The Silence of the Lambs,"Crime, Drama, Thriller",en,8.3,1,59,1991-02-14,16228
53,Taylor Swift: Reputation Stadium Tour,Music,en,8.3,2,5,2018-12-31,382
54,American History X,Drama,en,8.3,1,59,1998-07-01,11497
55,Princess Mononoke,"Adventure, Fantasy, Animation",ja,8.3,2,14,1997-07-12,7969
56,High and Low,"Drama, Crime, Mystery",ja,8.3,2,22,1963-03-01,900
57,The Quintessential Quintuplets Movie,"Animation, Comedy, Romance",ja,8.3,2,16,2022-05-20,382
58,A Brighter Summer Day,"Crime, Drama, Romance",zh,8.3,3,57,1991-07-27,314
59,Back to the Future,"Adventure, Comedy, Science Fiction",en,8.3,1,56,1985-07-03,19840
60,Once Upon a Studio,"Animation, Family, Fantasy, Comedy",en,8.3,0,9,2023-09-24,352
61,Perfect Blue,"Animation, Thriller",ja,8.3,1,22,1998-02-28,2633
62,Hotarubi no Mori e,"Romance, Animation, Fantasy",ja,8.3,0,45,2011-09-17,1101
63,Sunset Boulevard,Drama,en,8.3,1,50,1950-08-10,2561
64,Dead Poets Society,Drama,en,8.3,2,8,1989-06-02,11204
65,Léon: The Professional,"Crime, Drama, Action",en,8.3,1,51,1994-09-14,14719
66,Dedicated to my ex,"Drama, Comedy",es,8.3,1,34,2019-11-01,501
67,The Great Dictator,"Comedy, War",en,8.3,2,5,1940-10-15,3353
68,The Count of Monte-Cristo,"Action, Adventure, Drama, History, Romance, Thriller",fr,8.3,2,58,2024-06-28,772
69,Neon Genesis Evangelion: The End of Evangelion,"Animation, Science Fiction, Action, Drama",ja,8.3,1,27,1997-07-19,1590
70,Ikiru,Drama,ja,8.3,2,23,1952-10-09,1126
71,Modern Times,"Comedy, Drama, Romance",en,8.3,1,27,1936-02-05,3676
72,Once Upon a Time in the West,"Drama, Western",it,8.3,2,46,1968-12-21,4312
73,City Lights,"Comedy, Drama, Romance",en,8.3,1,27,1931-02-06,2152
74,The Intouchables,"Drama, Comedy",fr,8.3,1,53,2011-11-02,17150
75,Apocalypse Now,"Drama, War",en,8.3,2,27,1979-08-15,8184
76,It's a Wonderful Life,"Drama, Family, Fantasy",en,8.3,2,10,1946-12-20,4256
77,Violet Evergarden: The Movie,"Animation, Fantasy, Romance, Drama",ja,8.3,2,20,2020-09-18,404
78,Paths of Glory,"War, Drama, History",en,8.3,1,28,1957-10-25,2886
79,"The Boy, the Mole, the Fox and the Horse","Animation, Family, Adventure, Fantasy",en,8.3,0,35,2022-12-25,565
80,"Josee, the Tiger and the Fish","Animation, Drama, Romance",ja,8.3,1,38,2020-12-25,462
81,Miracle in Cell No. 7,Drama,tr,8.3,2,12,2019-10-10,4392
82,Given,"Animation, Drama, Music, Romance",ja,8.3,1,0,2020-08-22,377
83,The Legend of 1900,"Drama, Music",it,8.3,2,50,1998-10-28,2238
84,Le Trou,"Drama, Thriller, Crime",fr,8.3,2,12,1960-03-18,469
85,We All Loved Each Other So Much,"Drama, Comedy",it,8.3,2,4,1974-12-21,548
86,Clouds,"Music, Drama, Romance",en,8.3,2,1,2020-10-09,1002
87,The Lion King,"Family, Animation, Drama",en,8.3,1,29,1994-06-24,18209
88,Oldboy,"Drama, Thriller, Mystery, Action",ko,8.3,2,0,2003-11-21,8630
89,Life in a Year,"Drama, Romance",en,8.3,1,47,2020-11-27,1872
90,Five Feet Apart,"Romance, Drama",en,8.3,1,56,2019-03-14,5581
91,Come and See,"Drama, War",ru,8.3,2,22,1985-10-17,1475
92,Avengers: Endgame,"Adventure, Science Fiction, Action",en,8.2,3,1,2019-04-24,25551
93,Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation, Action, Science Fiction, Drama",ja,8.2,2,35,2021-03-08,806
94,Avengers: Infinity War,"Adventure, Action, Science Fiction",en,8.2,2,29,2018-04-25,29662
95,Klaus,"Animation, Family, Adventure, Comedy, Fantasy",en,8.2,1,36,2019-11-08,3979
96,Green Book,"Drama, History",en,8.2,2,10,2018-11-16,11527
97,Mommy,Drama,fr,8.2,2,18,2014-09-19,2702
98,Rascal Does Not Dream of a Dreaming Girl,"Animation, Romance, Drama, Fantasy",ja,8.2,1,30,2019-06-15,520
99,Wolf Children,"Animation, Family, Drama, Fantasy",ja,8.2,1,57,2012-07-21,2275
100,Wolfwalkers,"Animation, Family, Adventure, Fantasy",en,8.2,1,43,2020-10-26,1182
101,I Want to Eat Your Pancreas,"Animation, Drama, Romance",ja,8.2,1,48,2018-09-01,1539
102,Il Sorpasso,"Drama, Comedy",it,8.2,1,45,1962-12-05,739
103,Puss in Boots: The Last Wish,"Animation, Adventure, Fantasy, Comedy, Family",en,8.2,1,43,2022-11-26,7715
104,Justice League Dark: Apokolips War,"Animation, Action, Science Fiction",en,8.2,1,30,2020-05-05,1450
105,Inglourious Basterds,"Drama, Thriller, War",en,8.2,2,33,2009-08-02,22160
106,The Matrix,"Action, Science Fiction",en,8.2,2,16,1999-03-31,25581
107,The Handmaiden,"Thriller, Drama, Romance",ko,8.2,2,25,2016-06-01,3718
108,Saving Private Ryan,"Drama, History, War",en,8.2,2,49,1998-07-24,15764
109,Gladiator,"Action, Drama, Adventure",en,8.2,2,35,2000-05-04,18446
110,The Shining,"Horror, Thriller",en,8.2,2,24,1980-05-23,17399
111,The Help,Drama,en,8.2,2,26,2011-08-09,8228
112,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation, Action, Fantasy, Thriller",ja,8.2,1,57,2020-10-16,3925
113,Witness for the Prosecution,"Drama, Mystery, Crime",en,8.2,1,56,1957-12-17,1389
114,Coco,"Family, Animation, Music, Adventure",en,8.2,1,45,2017-10-27,19414
115,Woman in the Dunes,"Drama, Thriller",ja,8.2,2,27,1964-02-15,439
116,Star Wars,"Adventure, Action, Science Fiction",en,8.2,2,1,1977-05-25,20535
117,Shutter Island,"Drama, Thriller, Mystery",en,8.2,2,18,2010-02-14,23865
118,The Prestige,"Drama, Mystery, Science Fiction",en,8.2,2,10,2006-10-17,15957
119,The Apartment,"Comedy, Drama, Romance",en,8.2,2,5,1960-06-21,2276
120,Out of the Clear Blue Sky,"Comedy, Drama, Music",es,8.2,1,52,2019-12-24,343
121,Top Gun: Maverick,"Action, Drama",en,8.2,2,11,2022-05-21,9166
122,Maquia: When the Promised Flower Blooms,"Animation, Fantasy, Drama, Adventure",ja,8.2,1,55,2018-02-24,625
123,Hacksaw Ridge,"Drama, History, War",en,8.2,2,19,2016-10-07,13660
124,A Clockwork Orange,"Science Fiction, Crime",en,8.2,2,17,1971-12-19,12790
125,Bicycle Thieves,Drama,it,8.2,1,29,1948-07-21,2378
126,Violet Evergarden: Eternity and the Auto Memory Doll,"Drama, Fantasy, Animation",ja,8.2,1,31,2019-09-06,363
127,Doctor Who: The Day of the Doctor,"Science Fiction, Adventure",en,8.2,1,17,2013-11-23,744
128,The Art of Racing in the Rain,"Drama, Romance",en,8.2,1,49,2019-08-08,1471
129,The Seventh Seal,"Fantasy, Drama",sv,8.2,1,36,1957-02-16,2965
130,Michael Jackson's Thriller,"Horror, Music, Mystery",en,8.2,0,14,1983-11-14,675
131,The Usual Suspects,"Drama, Crime, Thriller",en,8.2,1,46,1995-07-19,10317
132,Hamilton,"History, Drama",en,8.2,2,40,2020-07-03,1402
133,Django Unchained,"Drama, Western",en,8.2,2,45,2012-12-25,26140
134,Memento,"Mystery, Thriller",en,8.2,1,53,2000-10-11,14787
135,Investigation of a Citizen Above Suspicion,"Drama, Thriller",it,8.2,1,51,1970-10-16,767
136,Tokyo Story,Drama,ja,8.2,2,17,1953-11-03,1049
137,Persona,Drama,sv,8.2,1,23,1966-10-18,2129
138,My Mom Is a Character 3,Comedy,pt,8.2,1,51,2019-12-26,472
139,The Kid,"Comedy, Drama",en,8.2,1,8,1921-01-21,2089
140,Jujutsu Kaisen 0,"Animation, Action, Fantasy",ja,8.2,1,45,2021-12-24,1390
141,Steven Universe: The Movie,"TV Movie, Animation, Adventure, Comedy, Fantasy, Music",en,8.2,1,22,2019-10-07,773
142,My Hero Academia: Heroes Rising,"Animation, Action, Fantasy, Adventure",ja,8.2,1,44,2019-12-20,1160
143,Scarface,"Action, Crime, Drama",en,8.2,2,49,1983-12-09,11763
144,The Departed,"Drama, Thriller, Crime",en,8.2,2,31,2006-10-04,14805
145,Vertigo,"Mystery, Romance, Thriller",en,8.2,2,8,1958-05-28,5705
146,Green Snake,"Animation, Fantasy, Action, Adventure",zh,8.2,2,11,2021-07-23,301
147,Silenced,Drama,ko,8.2,2,5,2011-09-22,626
148,Capernaum,Drama,ar,8.2,2,6,2018-09-20,1685
149,Good Will Hunting,Drama,en,8.2,2,7,1997-12-05,12293
150,Casablanca,"Drama, Romance",en,8.2,1,42,1943-01-15,5414
151,8½,Drama,it,8.2,2,19,1963-02-14,2260
152,Alien,"Horror, Science Fiction",en,8.2,1,57,1979-05-25,14701
153,Stalker,"Science Fiction, Drama",ru,8.2,2,42,1979-05-25,2147
154,The Shop Around the Corner,"Comedy, Drama, Romance",en,8.2,1,39,1940-01-12,713
155,Singin' in the Rain,"Comedy, Romance",en,8.2,1,43,1952-04-09,3115
156,Dune: Part Two,"Science Fiction, Adventure",en,8.2,2,47,2024-02-27,5531
157,There's Still Tomorrow,"Drama, Comedy, War",it,8.2,1,58,2023-10-26,1203
158,Togo,"Adventure, Family",en,8.2,1,53,2019-12-20,1995
159,Joker,"Crime, Thriller, Drama",en,8.1,2,2,2019-10-01,25627
160,20th Century Girl,"Romance, Drama",ko,8.1,1,59,2022-10-06,684
161,Zack Snyder's Justice League,"Action, Adventure, Fantasy",en,8.1,4,2,2021-03-18,9945
162,Piper,"Family, Animation",en,8.1,0,6,2016-06-16,1611
163,The Truman Show,"Comedy, Drama",en,8.1,1,43,1998-06-04,18251
164,Innocent Voices,"Drama, War",es,8.1,2,0,2005-01-28,480
165,Taxi Driver,"Crime, Drama",en,8.1,1,54,1976-02-09,12196
166,Scenes from a Marriage,"Drama, Romance",sv,8.1,2,49,1974-09-15,345
167,Bound by Honor,"Crime, Action, Drama, Thriller",en,8.1,3,0,1993-02-05,1319
168,Wild Strawberries,Drama,sv,8.1,1,31,1957-08-28,1614
169,Palmer,Drama,en,8.1,1,50,2021-01-28,1593
170,Wonder,"Drama, Family",en,8.1,1,53,2017-11-13,7825
171,My Friends,Comedy,it,8.1,2,20,1975-10-24,691
172,Call Me by Your Name,"Romance, Drama",en,8.1,2,12,2017-07-28,12024
173,Along with the Gods: The Last 49 Days,"Action, Adventure, Fantasy, Thriller",ko,8.1,2,21,2018-08-01,661
174,Full Metal Jacket,"Drama, War",en,8.1,1,57,1987-06-26,10416
175,The Hate U Give,"Crime, Drama",en,8.1,2,13,2018-10-19,2110
176,Soul,"Animation, Family, Comedy, Fantasy",en,8.1,1,41,2020-12-25,10396
177,The Father,Drama,en,8.1,1,37,2020-12-23,3164
178,Reservoir Dogs,"Crime, Thriller",en,8.1,1,39,1992-09-02,14226
179,Better Days,"Drama, Romance, Thriller, Crime",zh,8.1,2,15,2019-10-25,439
180,Terminator 2: Judgment Day,"Action, Thriller, Science Fiction",en,8.1,2,17,1991-07-03,12809
181,The Great War,"Comedy, War, Drama",it,8.1,2,17,1959-10-28,340
182,Metropolis,"Drama, Science Fiction",de,8.1,2,28,1927-02-06,2737
183,"Lock, Stock and Two Smoking Barrels","Comedy, Crime",en,8.1,1,45,1998-08-28,6540
184,Purple Hearts,"Romance, Drama",en,8.1,2,2,2022-07-29,2515
185,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",en,8.1,1,35,1964-01-29,5587
186,Central Station,Drama,pt,8.1,1,53,1998-11-20,886
187,"“The Shorts” by Aldo, Giovanni and Giacomo",Comedy,it,8.1,2,0,1996-03-29,345
188,In the Mood for Love,"Drama, Romance",cn,8.1,1,38,2000-09-29,2698
189,The Invisible Guest,"Drama, Mystery, Thriller",es,8.1,1,47,2017-01-06,4502
190,Double Indemnity,"Crime, Thriller",en,8.1,1,47,1944-07-06,1780
191,Portrait of a Lady on Fire,"Drama, Romance, History",fr,8.1,2,1,2019-09-18,2527
192,Incendies,"Drama, War, Mystery",fr,8.1,2,11,2010-09-17,2712
193,"Paris, Texas",Drama,en,8.1,2,25,1984-07-16,1829
194,Sansho the Bailiff,Drama,ja,8.1,2,4,1954-03-31,369
195,Transformers One,"Animation, Science Fiction, Adventure, Family",en,8.1,1,44,2024-09-11,611
196,New Gods: Nezha Reborn,"Animation, Action, Fantasy",zh,8.1,1,56,2021-02-06,412
197,Mortal Kombat Legends: Scorpion's Revenge,"Animation, Action, Fantasy",en,8.1,1,20,2020-04-12,1370
198,Big Deal on Madonna Street,"Comedy, Crime",it,8.1,1,46,1958-07-26,693
199,The Tale of The Princess Kaguya,"Animation, Drama, Fantasy",ja,8.1,2,17,2013-11-23,1768
200,All About Eve,Drama,en,8.1,2,19,1950-11-09,1516
201,Some Like It Hot,"Comedy, Romance, Crime",en,8.1,2,2,1959-03-19,3441
202,Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance",en,8.1,1,48,2004-03-19,14866
203,Prisoners,"Drama, Thriller, Crime",en,8.1,2,33,2013-09-19,11700
204,The Hunt,Drama,da,8.1,1,56,2012-06-13,4153
205,Red Beard,Drama,ja,8.1,3,5,1965-04-03,351
206,Yojimbo,"Drama, Thriller",ja,8.1,1,50,1961-04-25,1436
207,Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure",en,8.1,2,10,2011-07-12,20460
208,WALL·E,"Animation, Family, Science Fiction",en,8.1,1,38,2008-06-22,18690
209,La Haine,Drama,fr,8.1,1,38,1995-05-31,4014
210,The Best of Youth,"Drama, History, Romance",it,8.1,6,7,2003-06-22,526
211,Children of Paradise,"Drama, Romance",fr,8.1,3,10,1945-03-15,407
212,"Miraculous World: New York, United HeroeZ","Animation, TV Movie, Fantasy, Action",fr,8.1,1,1,2020-09-25,1086
213,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,"Animation, Adventure, Comedy, Fantasy",ja,8.1,1,30,2019-08-30,542
214,La Dolce Vita,"Comedy, Drama",it,8.1,2,56,1960-02-05,1840
215,Guillermo del Toro's Pinocchio,"Animation, Fantasy, Drama",en,8.1,1,57,2022-11-09,2886
216,Along with the Gods: The Two Worlds,"Action, Adventure, Drama, Fantasy, Thriller",ko,8.1,2,19,2017-12-20,1034
217,Das Boot,"Drama, History, War",de,8.1,2,30,1981-09-17,2196
218,M,"Drama, Thriller, Crime",de,8.1,1,51,1931-05-11,2162
219,Rashomon,"Crime, Drama, Mystery",ja,8.1,1,28,1950-08-26,2196
220,Oppenheimer,"Drama, History",en,8.1,3,1,2023-07-19,9207
221,There Will Be Blood,Drama,en,8.1,2,38,2007-12-26,6563
222,A Taxi Driver,"Action, Drama, History",ko,8.1,2,18,2017-08-02,971
223,Prayers for Bobby,"Drama, History, TV Movie",en,8.1,1,29,2009-01-24,577
224,Believe Me: The Abduction of Lisa McVey,"Drama, TV Movie, Crime",en,8.1,1,38,2018-09-30,615
225,Pride & Prejudice,"Drama, Romance",en,8.1,2,7,2005-09-16,7994
226,2001: A Space Odyssey,"Science Fiction, Mystery, Adventure",en,8.1,2,29,1968-04-02,11461
227,Far from the Tree,"Animation, Family",en,8.1,0,7,2021-11-24,366
228,Lion,Drama,en,8.1,1,58,2016-11-24,6513
229,Sherlock Jr.,"Action, Comedy, Mystery",en,8.1,0,45,1924-04-17,981
230,Robot Dreams,"Animation, Drama, Comedy, Science Fiction",es,8.1,1,42,2023-12-06,540
231,Me Against You: Mr. S's Vendetta,"Family, Fantasy",it,8.1,1,4,2020-01-17,466
232,My Neighbor Totoro,"Fantasy, Animation, Family",ja,8.1,1,26,1988-04-16,7919
233,"Three Billboards Outside Ebbing, Missouri","Crime, Drama",en,8.1,1,55,2017-12-01,10042
234,Ayla: The Daughter of War,"Drama, War, History",tr,8.1,2,4,2017-10-27,352
235,Ran,"Action, Drama, History",ja,8.1,2,40,1985-06-01,1529
236,A Dog's Journey,"Family, Adventure, Drama",en,8.1,1,49,2019-05-03,1494
237,The Thing,"Horror, Mystery, Science Fiction",en,8.1,1,49,1982-06-25,6937
238,A Special Day,"Drama, Romance",it,8.1,1,46,1977-08-11,657
239,Memories of Murder,"Crime, Drama, Thriller",ko,8.1,2,11,2003-05-02,3783
240,Hidden Figures,"Drama, History",en,8.1,2,7,2016-12-10,9666
241,Hidden Figures,"Drama, History",en,8.1,2,7,2016-12-10,9666
242,Judgment at Nuremberg,"Drama, History",en,8.1,3,11,1961-12-18,774
243,The Grand Budapest Hotel,"Comedy, Drama",en,8,1,40,2014-02-26,14719
244,Elite Squad,"Drama, Action, Crime",pt,8,1,55,2007-10-12,2388
245,The Young and the Damned,"Drama, Crime",es,8,1,22,1950-12-09,476
246,Bo Burnham: Inside,"Comedy, Drama",en,8,1,27,2021-07-22,480
247,Paper Lives,Drama,tr,8,1,36,2021-03-12,380
248,My Name Is Khan,"Drama, Romance",hi,8,2,45,2010-02-10,1302
249,Rocco and His Brothers,"Drama, Romance",it,8,2,58,1960-10-07,583
250,The Second Mother,Drama,pt,8,1,52,2015-06-04,715
251,The 400 Blows,Drama,fr,8,1,39,1959-06-03,2127
252,To Live,"Drama, Romance, War",zh,8,2,13,1994-05-18,310
253,On My Skin,Drama,it,8,1,40,2018-09-12,1848
254,The Elephant Man,"Drama, History",en,8,2,4,1980-10-09,3455
255,The Wolf of Wall Street,"Crime, Drama, Comedy",en,8,3,0,2013-12-25,23853
256,The Lives of Others,"Drama, Thriller",de,8,2,17,2006-03-23,3637
257,Amadeus,"History, Music, Drama",en,8,2,40,1984-09-19,4213
258,Gifted,"Drama, Comedy",en,8,1,41,2017-04-07,5447
259,Society of the Snow,"Drama, History",es,8,2,24,2023-12-15,2867
260,The Wages of Fear,"Drama, Thriller, Adventure",fr,8,2,33,1953-04-22,935
261,The Sting,"Comedy, Crime, Drama",en,8,2,9,1973-12-25,2583
262,"Veinteañera, divorciada y fantástica",Comedy,es,8,1,33,2020-02-14,387
263,Room,"Drama, Thriller",en,8,1,58,2015-10-16,9111
264,Scooby-Doo! and KISS: Rock and Roll Mystery,"Family, Animation, Comedy, Mystery",en,8,1,19,2015-07-09,315
265,Flipped,"Romance, Drama",en,8,1,29,2010-08-06,2985
266,Requiem for a Dream,"Crime, Drama",en,8,1,42,2000-10-06,9900
267,Simone: Woman of the Century,"Drama, History",fr,8,2,20,2022-10-12,322
268,Jojo Rabbit,"Comedy, War, Drama",en,8,1,48,2019-10-18,9482
269,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy",en,8,2,21,2004-05-31,21469
270,Dial M for Murder,"Thriller, Crime",en,8,1,45,1954-05-29,2573
271,El mesero,Comedy,es,8,1,26,2021-07-15,349
272,For a Few Dollars More,Western,it,8,2,12,1965-12-18,3934
273,Black Beauty,Drama,en,8,1,50,2020-11-27,335
274,Bo Burnham: Make Happy,"Comedy, Music",en,8,1,0,2016-06-03,372
275,"Toto, Peppino, and the Hussy","Comedy, Romance",it,8,1,41,1956-08-23,340
276,American Beauty,Drama,en,8,2,2,1999-09-15,11982
277,Beyond the Universe,"Romance, Drama",pt,8,2,6,2022-10-27,316
278,All Your Faces,Drama,fr,8,1,55,2023-03-29,540
279,Cruella,"Comedy, Crime, Family, Adventure",en,8,2,14,2021-05-26,9276
280,"Rome, Open City","Drama, History, War",it,8,1,43,1945-10-08,873
281,Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",en,8,4,7,2011-03-27,997
282,Citizen Kane,"Mystery, Drama",en,8,1,59,1941-04-17,5482
283,"Love, Simon","Comedy, Drama, Romance",en,8,1,50,2018-02-16,6010
284,Ford v Ferrari,"Drama, Action, History",en,8,2,33,2019-11-13,7898
285,Hachi: A Dog's Tale,"Drama, Family",en,8,1,33,2009-06-08,6660
286,The Passion of Joan of Arc,"Drama, History",fr,8,1,22,1928-04-21,927
287,Barry Lyndon,"Drama, Romance, War, History",en,8,3,5,1975-12-18,2794
288,Casino,"Crime, Drama",en,8,2,59,1995-11-22,5782
289,Sound of Freedom,"Action, Drama",en,8,2,11,2023-07-03,2394
290,Autumn Sonata,Drama,sv,8,1,33,1978-10-08,591
291,Song of the Sea,"Family, Animation, Fantasy",en,8,1,33,2014-06-23,1415
292,The Deer Hunter,"Drama, War",en,8,3,3,1978-12-08,3777
293,Lawrence of Arabia,"Adventure, History, War",en,8,3,48,1962-12-11,2987
294,To Kill a Mockingbird,Drama,en,8,2,9,1962-12-20,2580
295,Tae Guk Gi: The Brotherhood of War,"Action, Adventure, Drama, History, War",ko,8,2,28,2004-02-05,656
296,The Imitation Game,"History, Drama, Thriller, War",en,8,1,53,2014-11-14,16934
297,The Secret in Their Eyes,"Mystery, Thriller, Drama",es,8,2,10,2009-08-13,2516
298,3 Idiots,"Drama, Comedy",hi,8,2,51,2009-12-23,2363
299,Weathering with You,"Animation, Drama, Fantasy, Romance",ja,8,1,52,2019-06-19,2274
300,Loving Vincent,"Animation, Drama, Mystery, History",en,8,1,35,2017-06-22,2431
301,Andrei Rublev,"Drama, History",ru,8,3,5,1966-12-16,814
302,Paperman,"Animation, Family, Romance",en,8,0,7,2012-11-02,1702
303,In a Heartbeat,"Animation, Romance, Comedy",en,8,0,4,2017-06-01,992
304,Gran Torino,Drama,en,8,1,56,2008-12-12,10632
305,1917,"War, History, Thriller, Drama",en,8,1,59,2019-12-25,12319
306,Bingo: The King of the Mornings,"Comedy, Drama",pt,8,1,53,2017-08-24,382
307,Late Spring,Drama,ja,8,1,50,1949-09-13,408
308,The Gold Rush,"Adventure, Comedy, Drama",en,8,1,35,1925-07-13,1587
309,Like Stars on Earth,Drama,hi,8,2,42,2007-12-21,1151
310,Love Exposure,"Action, Comedy, Drama, Romance",ja,8,3,57,2009-01-31,439
311,Chungking Express,"Drama, Comedy, Romance",cn,8,1,43,1994-07-14,1783
312,Monster,"Mystery, Thriller, Drama",ja,8,2,5,2023-06-02,531
313,Nobody Knows,Drama,ja,8,2,21,2004-08-07,520
314,Bohemian Rhapsody,"Music, Drama",en,8,2,15,2018-10-24,16802
315,Nights of Cabiria,Drama,it,8,1,50,1957-10-03,752
316,"Red, White & Royal Blue","Comedy, Romance",en,8,2,1,2023-07-27,1253
317,Flamin' Hot,"Drama, History",en,8,1,39,2023-03-11,659
318,Castaway on the Moon,"Drama, Comedy, Romance",ko,8,1,59,2009-05-14,658
319,North by Northwest,"Thriller, Adventure",en,8,2,16,1959-07-08,4072
320,Ugetsu,"Fantasy, Drama, Mystery",ja,8,1,36,1953-03-26,564
321,Catch Me If You Can,"Drama, Crime",en,8,2,21,2002-12-16,15555
322,Pather Panchali,Drama,bn,8,2,5,1955-08-26,414
323,Castle in the Sky,"Adventure, Fantasy, Animation, Action, Family",ja,8,2,5,1986-08-02,4163
324,The Circus,"Comedy, Family, Romance",en,8,1,13,1928-01-29,781
325,Before Sunrise,"Drama, Romance",en,8,1,41,1995-01-27,4098
326,Kill Bill: Vol. 1,"Action, Crime",en,8,1,51,2003-10-10,17320
327,Forgotten,"Thriller, Mystery, Crime",ko,8,1,48,2017-11-29,1094
328,Toy Story,"Animation, Adventure, Family, Comedy",en,8,1,21,1995-10-30,18311
